Username,Name,Followers,Category,GMV,Items Sold,Avg Views,Engagement,Previously Invited
regularjoey0,regularjoey0,11.7K,Textiles & Soft Furnishings,£174K,8.1K,3.6K,0.3%,False
ben_approved,Ben Approved 💁🏼‍♂️,20.8K,Beauty & Personal Care,£134.1K,4.7K,1.8K,0.4%,False
life.made.easy_,Life Made Easy,5.3K,Household Appliances,£131.7K,3.8K,1.5K,0.2%,False
team.finds,Team Finds,21.7K,Home Supplies,£116.5K,7.6K,5.8K,0.3%,False
carlatokshop,Carla ✨,5.8K,Textiles & Soft Furnishings,£93.1K,6.1K,1.2K,0.4%,False
sam_sweet_brummom,Mrs sweet,14K,Home Supplies,£78.1K,4.3K,887,0.5%,False
samantha.x89,samantha,5.8K,Textiles & Soft Furnishings,£52.7K,4K,1.8K,1.4%,False
nicola.henny20,Nicola Henshall,4.4K,Automotive & Motorcycle,£44.1K,4.9K,1.6K,0.3%,False
georgiafoxx11,Georgiafox,149K,Beauty & Personal Care,£39.9K,2.4K,2.3K,1.5%,False
thegirlybuys,thegirlybuys,4.1K,Beauty & Personal Care,£35.9K,2.3K,782,0.7%,False
sleep.cult,Sleep Cult,5.6K,Textiles & Soft Furnishings,£32.3K,2K,4K,0.2%,False
alisonjames894,alisonjames894,5.5K,Textiles & Soft Furnishings,£31.5K,2.1K,1.5K,0.4%,False
