Rank,AI Score,Username,Name,Followers,GMV,Items Sold,Avg Views,Engagement,Category,Previously Invited,AI Reasons
1,26.0,ourcutefindsuk,our cute finds 🧸✨,2.2K,£26.3K,1.8K,531,0.8%,Textiles & Soft Furnishings,False,Low average views (531) | Low engagement (0.8%) | Growing audience (2.2K)
2,26.0,tommylogs,tommylogs,1.7K,£12.2K,963,470,0.3%,Textiles & Soft Furnishings,False,Low average views (470) | Low engagement (0.3%) | Growing audience (1.7K)
3,26.0,brittany.g61,Brittany,2.1K,£11.9K,684,383,0.4%,Textiles & Soft Furnishings,False,Low average views (383) | Low engagement (0.4%) | Growing audience (2.1K)
4,22.0,melliegibbo74,Mellie G,17.1K,£35.2K,2.9K,710,2.4%,Womenswear & Underwear,False,Low average views (710)
5,21.0,thegirlybuys,thegirlybuys,4.2K,£41.9K,2.6K,1.3K,0.8%,Beauty & Personal Care,False,Low engagement (0.8%) | Growing audience (4.2K)
6,21.0,nicola.henny20,Nicola Henshall,4.3K,£22.8K,2.6K,1.6K,0.3%,Automotive & Motorcycle,False,Low engagement (0.3%) | Growing audience (4.3K)
7,18.0,aybecky3,Aybecky3,26.3K,£46.3K,2.3K,927,0.8%,Home Supplies,False,Low average views (927) | Low engagement (0.8%)
8,18.0,cocokourts,✨CocoKourts✨,11.3K,£10.7K,584,357,0.7%,Home Supplies,False,Low average views (357) | Low engagement (0.7%)
9,16.0,mrsb_xo_,Mrs B 🌸,5.7K,£32.6K,1.9K,909,0.4%,Womenswear & Underwear,False,Low average views (909) | Low engagement (0.4%) | Growing audience (5.7K)
10,16.0,esxx.ldw.6362,Rr68392,4.8K,£19.4K,1.3K,569,0.3%,Furniture,False,Low average views (569) | Low engagement (0.3%) | Growing audience (4.8K)
11,16.0,javierabbas31,javierabbas31,1.4K,£19.4K,2.5K,396,0.6%,Home Supplies,False,Low average views (396) | Low engagement (0.6%) | Growing audience (1.4K)
12,16.0,rachmatoba_reviews,Rachmatoba reviews,2.2K,£16.6K,1.3K,475,0.5%,Household Appliances,False,Low average views (475) | Low engagement (0.5%) | Growing audience (2.2K)
13,16.0,glowwithme751,cosmetics corner ✨💅,1.9K,£13.1K,899,743,0.3%,Shoes,False,Low average views (743) | Low engagement (0.3%) | Growing audience (1.9K)
14,16.0,nightsguys,nightsguys,5.1K,£12.9K,298,443,0.2%,Household Appliances,False,Low average views (443) | Low engagement (0.2%) | Growing audience (5.1K)
15,16.0,washingmachine36,Washingmachine,1.1K,£14.3K,1.8K,720,0.4%,Home Supplies,False,Low average views (720) | Low engagement (0.4%) | Growing audience (1.1K)
