Rank,AI Score,Username,Name,Followers,GMV,Items Sold,Avg Views,Engagement,Category,Previously Invited,AI Reasons
1,41.5,carlatokshop,Carla ✨,6K,£99.8K,6K,1.4K,0.5%,Textiles & Soft Furnishings,False,Low engagement (0.5%) | Growing audience (6K)
2,41.0,taylorscholfield,Taylorscholfield,44.2K,£10.4K,578,5.5K,13.4%,Sports & Outdoor,False,Outstanding engagement (13.4%)
3,40.5,team.finds,Team Finds,22K,£129.8K,9K,6.5K,0.3%,Home Supplies,False,Strong GMV (£129.8K) | Low engagement (0.3%)
4,38.5,life.made.easy_,Life Made Easy,5.7K,£121.1K,3.7K,1.6K,0.2%,Household Appliances,False,Strong GMV (£121.1K) | Low engagement (0.2%) | Growing audience (5.7K)
5,38.0,mumtosons,Jane 🧚‍♀️,13.3K,£15K,1K,497,4.0%,Textiles & Soft Furnishings,False,Low average views (497)
6,37.0,_thistleflowers,Thistle event decor💀🖤🤟🏼,35.9K,£22.7K,1.2K,6K,5.2%,Womenswear & Underwear,False,Strong engagement (5.2%)
7,32.0,georgiafoxx11,Georgiafox,149.1K,£30.4K,1.8K,2.6K,1.6%,Beauty & Personal Care,False,Strong follower base (149.1K)
8,32.0,rahellimbu,Rahel limbu,300.8K,£17.5K,924,1.6K,1.8%,Kitchenware,False,Strong follower base (300.8K)
9,31.5,msrfinds,msrfinds,6.8K,£79.3K,5.4K,1.3K,0.4%,Shoes,False,Low engagement (0.4%) | Growing audience (6.8K)
10,31.0,alisonjames894,alisonjames894,5.5K,£27.9K,1.8K,1.5K,0.3%,Textiles & Soft Furnishings,False,Low engagement (0.3%) | Growing audience (5.5K)
11,31.0,sleep.cult,Sleep Cult,5.6K,£24K,1.4K,3.8K,0.2%,Textiles & Soft Furnishings,False,Low engagement (0.2%) | Growing audience (5.6K)
12,31.0,katieirwinw,Katie Irwin 🎀,4K,£16.5K,966,2.5K,0.9%,Textiles & Soft Furnishings,False,Low engagement (0.9%) | Growing audience (4K)
13,30.0,mrsninabacon,NINA⚡️,4.7K,£22K,1.4K,672,1.4%,Textiles & Soft Furnishings,False,Low average views (672) | Growing audience (4.7K)
14,28.5,sam_sweet_brummom,Mrs sweet,14K,£80.6K,4.3K,867,0.6%,Home Supplies,False,Low average views (867) | Low engagement (0.6%)
15,28.0,kerryxo67,Kerry💕,14.9K,£22.8K,1K,778,0.7%,Textiles & Soft Furnishings,False,Low average views (778) | Low engagement (0.7%)
16,28.0,kirsten_mum_of_3_tts,kirsten_mum_of_3_TTS,20.2K,£15.9K,751,412,0.8%,Textiles & Soft Furnishings,False,Low average views (412) | Low engagement (0.8%)
17,26.0,ticktrovee,Emily,2.7K,£31.4K,1.7K,913,0.3%,Textiles & Soft Furnishings,False,Low average views (913) | Low engagement (0.3%) | Growing audience (2.7K)
18,26.0,tommylogs,tommylogs,1.7K,£12.2K,961,563,0.3%,Textiles & Soft Furnishings,False,Low average views (563) | Low engagement (0.3%) | Growing audience (1.7K)
19,26.0,brittany.g61,Brittany,2.1K,£11.1K,616,391,0.4%,Textiles & Soft Furnishings,False,Low average views (391) | Low engagement (0.4%) | Growing audience (2.1K)
20,26.0,twomumsoneplan,twomumsoneplan✨MumLife✨TTS,5.8K,£10.1K,463,408,0.5%,Textiles & Soft Furnishings,False,Low average views (408) | Low engagement (0.5%) | Growing audience (5.8K)
21,21.0,nicola.henny20,Nicola Henshall,4.3K,£38.8K,4.4K,1.6K,0.3%,Automotive & Motorcycle,False,Low engagement (0.3%) | Growing audience (4.3K)
22,21.0,tokkdealz,Tokk Dealz,7.6K,£34.6K,2.5K,5.7K,0.2%,Home Supplies,False,Low engagement (0.2%) | Growing audience (7.6K)
23,20.0,tiajaynebethxo,tiajaynebethxo,4.3K,£17.3K,672,663,1.4%,Home Supplies,False,Low average views (663) | Growing audience (4.3K)
24,18.0,neoredalert,Neo Red Alert,27K,£12.2K,906,800,0.3%,Kitchenware,False,Low average views (800) | Low engagement (0.3%)
25,16.0,thegirlybuys,thegirlybuys,4.1K,£39.1K,2.5K,855,0.7%,Beauty & Personal Care,False,Low average views (855) | Low engagement (0.7%) | Growing audience (4.1K)
26,16.0,mj_maryjane0,MJ,7.7K,£30.6K,1.3K,761,0.4%,Furniture,False,Low average views (761) | Low engagement (0.4%) | Growing audience (7.7K)
27,16.0,honestmumbestie,Your honest mum bestie,4.6K,£29.1K,1.5K,557,0.5%,Womenswear & Underwear,False,Low average views (557) | Low engagement (0.5%) | Growing audience (4.6K)
28,16.0,esxx.ldw.6362,Rr68392,4.7K,£21.2K,1.5K,620,0.3%,Furniture,False,Low average views (620) | Low engagement (0.3%) | Growing audience (4.7K)
29,16.0,glowwithme751,cosmetics corner ✨💅,1.8K,£13.3K,998,782,0.4%,Shoes,False,Low average views (782) | Low engagement (0.4%) | Growing audience (1.8K)
