Username,Name,Followers,Category,GMV,Items Sold,Avg Views,Engagement,Previously Invited
kayemarie53,Kaye Marie,652.1K,Textiles & Soft Furnishings,£26.8K,1.6K,106.8K,7.4%,False
regularjoey0,regularjoey0,11.7K,Textiles & Soft Furnishings,£174.2K,8.1K,3.6K,0.3%,False
samantha.x89,samantha,5.8K,Textiles & Soft Furnishings,£52.8K,4K,1.8K,1.4%,False
carlatokshop,Carla ✨,5.8K,Textiles & Soft Furnishings,£93.1K,6.1K,1.2K,0.4%,False
ticktrovee,Emily,2.6K,Textiles & Soft Furnishings,£50.3K,2.5K,2.6K,0.4%,False
team.finds,Team Finds,21.7K,Home Supplies,£116.6K,7.6K,5.8K,0.3%,False
life.made.easy_,Life Made Easy,5.3K,Household Appliances,£131.8K,3.8K,1.5K,0.2%,False
georgiafoxx11,Georgiafox,149K,Beauty & Personal Care,£39.9K,2.4K,2.3K,1.5%,False
sleep.cult,Sleep Cult,5.6K,Textiles & Soft Furnishings,£32.3K,2K,4K,0.2%,False
alisonjames894,alisonjames894,5.5K,Textiles & Soft Furnishings,£31.5K,2.1K,1.5K,0.4%,False
_midnightlyrics7,Victoria Harrington,5.5K,Home Supplies,£28.5K,1.2K,1.2K,0.8%,False
thegirlybuys,thegirlybuys,4.1K,Beauty & Personal Care,£36K,2.3K,782,0.7%,False
