Username,Name,Followers,Category,GMV,Items Sold,Avg Views,Engagement,Previously Invited
regularjoey0,regularjoey0,11.7K,Textiles & Soft Furnishings,£181.6K,8.8K,3.4K,0.3%,False
life.made.easy_,Life Made Easy,5.3K,Household Appliances,£136.3K,3.8K,1.9K,0.2%,False
ben_approved,Ben Approved 💁🏼‍♂️,20.7K,Beauty & Personal Care,£138.2K,4.8K,1.8K,0.4%,False
team.finds,Team Finds,21.5K,Home Supplies,£115.6K,7.5K,6.2K,0.3%,False
deanmc60873,deanmc60873,3.1K,Textiles & Soft Furnishings,£100.1K,7.5K,2.6K,0.3%,False
carlatokshop,Carla ✨,5.7K,Beauty & Personal Care,£91K,5.9K,1.2K,0.4%,False
tiktokproductgems,Sam | Home & Lifestyle,11.5K,Household Appliances,£80.7K,4.3K,1.9K,0.7%,False
sam_sweet_brummom,Mrs sweet,13.9K,Home Supplies,£78K,4.2K,860,0.5%,False
happilyeveraftergoods,@Twiceasnice,39.9K,Sports & Outdoor,£65.6K,4.3K,3.6K,0.4%,False
wendyg_official,Wendy G,308.1K,Beauty & Personal Care,£67.2K,4.9K,10.7K,2.6%,False
esmel77538,esmel77538,2.6K,Household Appliances,£53.8K,3K,2.7K,0.6%,False
samantha.x89,samantha,5.8K,Textiles & Soft Furnishings,£53.7K,4.1K,1.7K,1.5%,False
