Rank,AI Score,Username,Name,Followers,GMV,Items Sold,Avg Views,Engagement,Category,Previously Invited,AI Reasons
1,48.5,carlatokshop,Carla ✨,5.9K,£100K,6K,1.3K,0.4%,Textiles & Soft Furnishings,False,Strong GMV (£100K) | Low engagement (0.4%) | Growing audience (5.9K)
2,41.0,taylorscholfield,Taylorscholfield,44.1K,£10.5K,588,5.5K,13.4%,Sports & Outdoor,False,Outstanding engagement (13.4%)
3,40.5,team.finds,Team Finds,22K,£127.9K,8.5K,6.6K,0.3%,Home Supplies,False,Strong GMV (£127.9K) | Low engagement (0.3%)
4,38.5,life.made.easy_,Life Made Easy,5.4K,£121.8K,3.7K,1.6K,0.2%,Household Appliances,False,Strong GMV (£121.8K) | Low engagement (0.2%) | Growing audience (5.4K)
5,38.0,mumtosons,Jane 🧚‍♀️,13.3K,£14.8K,1K,498,4.1%,Textiles & Soft Furnishings,False,Low average views (498)
6,32.0,rahellimbu,Rahel limbu,300.8K,£17.2K,910,1.5K,1.8%,Kitchenware,False,Strong follower base (300.8K)
7,31.5,msrfinds,msrfinds,6.8K,£80.5K,5.6K,1.3K,0.4%,Shoes,False,Low engagement (0.4%) | Growing audience (6.8K)
8,31.0,alisonjames894,alisonjames894,5.5K,£28.9K,1.9K,1.5K,0.3%,Textiles & Soft Furnishings,False,Low engagement (0.3%) | Growing audience (5.5K)
9,31.0,sleep.cult,Sleep Cult,5.6K,£24.3K,1.4K,4K,0.2%,Textiles & Soft Furnishings,False,Low engagement (0.2%) | Growing audience (5.6K)
10,31.0,katieirwinw,Katie Irwin 🎀,3.9K,£16.3K,946,1.9K,0.9%,Textiles & Soft Furnishings,False,Low engagement (0.9%) | Growing audience (3.9K)
11,30.0,mrsninabacon,NINA⚡️,4.7K,£21.9K,1.4K,652,1.3%,Textiles & Soft Furnishings,False,Low average views (652) | Growing audience (4.7K)
12,28.5,sam_sweet_brummom,Mrs sweet,14K,£81.3K,4.4K,861,0.4%,Home Supplies,False,Low average views (861) | Low engagement (0.4%)
13,28.0,kerryxo67,Kerry💕,14.9K,£23.1K,1.1K,766,0.7%,Textiles & Soft Furnishings,False,Low average views (766) | Low engagement (0.7%)
14,28.0,kirsten_mum_of_3_tts,kirsten_mum_of_3_TTS,20.2K,£15.8K,737,418,0.8%,Textiles & Soft Furnishings,False,Low average views (418) | Low engagement (0.8%)
15,27.0,robgb0,RobGB0,141.8K,£22.5K,1.1K,485,1.3%,Home Improvement,False,Low average views (485) | Strong follower base (141.8K)
16,26.0,ticktrovee,Emily,2.7K,£35.7K,1.8K,913,0.3%,Textiles & Soft Furnishings,False,Low average views (913) | Low engagement (0.3%) | Growing audience (2.7K)
17,26.0,tommylogs,tommylogs,1.7K,£12.1K,962,569,0.3%,Textiles & Soft Furnishings,False,Low average views (569) | Low engagement (0.3%) | Growing audience (1.7K)
18,26.0,brittany.g61,Brittany,2.1K,£10.8K,585,394,0.4%,Textiles & Soft Furnishings,False,Low average views (394) | Low engagement (0.4%) | Growing audience (2.1K)
19,21.0,nicola.henny20,Nicola Henshall,4.3K,£40.3K,4.5K,1.6K,0.3%,Automotive & Motorcycle,False,Low engagement (0.3%) | Growing audience (4.3K)
20,21.0,tokkdealz,Tokk Dealz,7.5K,£34.6K,2.5K,6K,0.2%,Home Supplies,False,Low engagement (0.2%) | Growing audience (7.5K)
21,20.0,tiajaynebethxo,tiajaynebethxo,4.3K,£16.9K,655,674,1.4%,Home Supplies,False,Low average views (674) | Growing audience (4.3K)
22,20.0,tom.jerry879,TOM_JERRY,1.6K,£10.2K,377,707,1.6%,Household Appliances,False,Low average views (707) | Growing audience (1.6K)
23,18.0,neoredalert,Neo Red Alert,27K,£12.8K,950,773,0.3%,Kitchenware,False,Low average views (773) | Low engagement (0.3%)
24,16.0,thegirlybuys,thegirlybuys,4.1K,£39.2K,2.5K,934,0.7%,Beauty & Personal Care,False,Low average views (934) | Low engagement (0.7%) | Growing audience (4.1K)
25,16.0,mj_maryjane0,MJ,7.7K,£29.9K,1.3K,770,0.4%,Furniture,False,Low average views (770) | Low engagement (0.4%) | Growing audience (7.7K)
26,16.0,honestmumbestie,Your honest mum bestie,4.6K,£29.5K,1.5K,579,0.5%,Womenswear & Underwear,False,Low average views (579) | Low engagement (0.5%) | Growing audience (4.6K)
27,16.0,glowwithme751,cosmetics corner ✨💅,1.8K,£13.2K,994,806,0.4%,Shoes,False,Low average views (806) | Low engagement (0.4%) | Growing audience (1.8K)
