Rank,AI Score,Username,Name,Followers,GMV,Items Sold,Avg Views,Engagement,Category,Previously Invited,AI Reasons
1,31.0,katieirwinw,Katie Irwin 🎀,4K,£17.8K,1K,1.7K,0.8%,Textiles & Soft Furnishings,False,Low engagement (0.8%) | Growing audience (4K)
2,30.0,ourcutefindsuk,our cute finds 🧸✨,2.2K,£24.4K,1.6K,516,1.2%,Textiles & Soft Furnishings,False,Low average views (516) | Growing audience (2.2K)
3,28.0,aybecky3,Aybecky3,26.2K,£46K,2.3K,953,0.8%,Textiles & Soft Furnishings,False,Low average views (953) | Low engagement (0.8%)
4,26.0,tommylogs,tommylogs,1.7K,£11.8K,927,514,0.3%,Textiles & Soft Furnishings,False,Low average views (514) | Low engagement (0.3%) | Growing audience (1.7K)
5,26.0,brittany.g61,Brittany,2.1K,£11.3K,636,381,0.4%,Textiles & Soft Furnishings,False,Low average views (381) | Low engagement (0.4%) | Growing audience (2.1K)
6,22.0,melliegibbo74,Mellie G,17K,£38.9K,3.1K,714,2.6%,Womenswear & Underwear,False,Low average views (714)
7,21.0,thegirlybuys,thegirlybuys,4.2K,£40K,2.5K,1.2K,0.6%,Beauty & Personal Care,False,Low engagement (0.6%) | Growing audience (4.2K)
8,21.0,nicola.henny20,Nicola Henshall,4.3K,£31.6K,3.6K,1.6K,0.3%,Automotive & Motorcycle,False,Low engagement (0.3%) | Growing audience (4.3K)
9,18.0,cocokourts,✨CocoKourts✨,11.3K,£10.4K,581,371,0.7%,Home Supplies,False,Low average views (371) | Low engagement (0.7%)
10,16.0,esxx.ldw.6362,Rr68392,4.8K,£20.4K,1.4K,579,0.3%,Furniture,False,Low average views (579) | Low engagement (0.3%) | Growing audience (4.8K)
11,16.0,rachmatoba_reviews,Rachmatoba reviews,2.2K,£16.8K,1.3K,483,0.5%,Home Supplies,False,Low average views (483) | Low engagement (0.5%) | Growing audience (2.2K)
12,16.0,javierabbas31,javierabbas31,1.2K,£15.9K,2.1K,210,0.6%,Home Supplies,False,Low average views (210) | Low engagement (0.6%) | Growing audience (1.2K)
13,16.0,nightsguys,nightsguys,5.1K,£14.1K,314,465,0.2%,Household Appliances,False,Low average views (465) | Low engagement (0.2%) | Growing audience (5.1K)
14,16.0,glowwithme751,cosmetics corner ✨💅,1.9K,£13.4K,968,744,0.4%,Shoes,False,Low average views (744) | Low engagement (0.4%) | Growing audience (1.9K)
