Rank,Username,Name,Followers,Category,GMV,Items Sold,Avg Views,Engagement,Previously Invited,AI Score
1,regularjoey0,regularjoey0,11.7K,Textiles & Soft Furnishings,£173.2K,8.1K,3.6K,0.3%,False,50.5
2,samantha.x89,samantha,5.8K,Textiles & Soft Furnishings,£52.5K,4K,1.8K,1.4%,False,45.5
3,carlatokshop,Carla ✨,5.8K,Textiles & Soft Furnishings,£92.6K,6.1K,1.2K,0.4%,False,41.5
4,ticktrovee,Emily,2.6K,Textiles & Soft Furnishings,£50K,2.5K,2.6K,0.4%,False,41.5
5,ben_approved,Ben Approved 💁🏼‍♂️,20.8K,Beauty & Personal Care,£133.4K,4.7K,1.8K,0.4%,False,40.5
6,team.finds,Team Finds,21.7K,Home Supplies,£116K,7.6K,5.8K,0.3%,False,40.5
7,life.made.easy_,Life Made Easy,5.3K,Household Appliances,£131K,3.8K,1.5K,0.2%,False,38.5
8,georgiafoxx11,Georgiafox,149K,Beauty & Personal Care,£39.7K,2.4K,2.3K,1.5%,False,32.0
9,sleep.cult,Sleep Cult,5.6K,Textiles & Soft Furnishings,£32.1K,2K,4K,0.2%,False,31.0
10,sam_sweet_brummom,Mrs sweet,14K,Home Supplies,£77.7K,4.3K,887,0.5%,False,28.5
11,nicola.henny20,Nicola Henshall,4.4K,Automotive & Motorcycle,£43.8K,4.9K,1.6K,0.3%,False,21.0
12,thegirlybuys,thegirlybuys,4.1K,Beauty & Personal Care,£35.8K,2.3K,782,0.7%,False,16.0
