Rank,AI Score,Username,Name,Followers,GMV,Items Sold,Avg Views,Engagement,Category,Previously Invited,AI Reasons
1,41.0,taylorscholfield,Taylorscholfield,44K,£10.5K,592,5.9K,13.4%,Sports & Outdoor,False,Outstanding engagement (13.4%)
2,40.5,team.finds,Team Finds,21.9K,£127.1K,8.4K,6.1K,0.3%,Home Supplies,False,Strong GMV (£127.1K) | Low engagement (0.3%)
3,38.5,life.made.easy_,Life Made Easy,5.4K,£130.4K,3.9K,2.2K,0.2%,Household Appliances,False,Strong GMV (£130.4K) | Low engagement (0.2%) | Growing audience (5.4K)
4,32.0,georgiafoxx11,Georgiafox,149.1K,£34.1K,2K,2.5K,1.5%,Beauty & Personal Care,False,Strong follower base (149.1K)
5,31.0,alisonjames894,alisonjames894,5.5K,£29.4K,1.9K,1.5K,0.3%,Textiles & Soft Furnishings,False,Low engagement (0.3%) | Growing audience (5.5K)
6,31.0,sleep.cult,Sleep Cult,5.6K,£24.7K,1.4K,4.1K,0.2%,Textiles & Soft Furnishings,False,Low engagement (0.2%) | Growing audience (5.6K)
7,31.0,katieirwinw,Katie Irwin 🎀,3.9K,£15.5K,865,2.4K,0.9%,Textiles & Soft Furnishings,False,Low engagement (0.9%) | Growing audience (3.9K)
8,30.0,mrsninabacon,NINA⚡️,4.7K,£22.1K,1.4K,617,1.3%,Textiles & Soft Furnishings,False,Low average views (617) | Growing audience (4.7K)
9,28.5,sam_sweet_brummom,Mrs sweet,14K,£81K,4.4K,861,0.4%,Home Supplies,False,Low average views (861) | Low engagement (0.4%)
10,28.0,kerryxo67,Kerry💕,14.9K,£23.3K,1.1K,768,0.6%,Textiles & Soft Furnishings,False,Low average views (768) | Low engagement (0.6%)
11,28.0,kirsten_mum_of_3_tts,kirsten_mum_of_3_TTS,20.2K,£16K,742,415,0.8%,Textiles & Soft Furnishings,False,Low average views (415) | Low engagement (0.8%)
12,27.0,robgb0,RobGB0,141.8K,£23.4K,1.2K,492,1.2%,Home Improvement,False,Low average views (492) | Strong follower base (141.8K)
13,26.0,tommylogs,tommylogs,1.7K,£12.2K,978,547,0.3%,Textiles & Soft Furnishings,False,Low average views (547) | Low engagement (0.3%) | Growing audience (1.7K)
14,26.0,brittany.g61,Brittany,2.1K,£10.4K,558,396,0.4%,Textiles & Soft Furnishings,False,Low average views (396) | Low engagement (0.4%) | Growing audience (2.1K)
15,21.0,nicola.henny20,Nicola Henshall,4.3K,£41.4K,4.6K,1.6K,0.3%,Automotive & Motorcycle,False,Low engagement (0.3%) | Growing audience (4.3K)
16,21.0,ticktrovee,Emily,2.6K,£38.5K,1.9K,1.1K,0.3%,Household Appliances,False,Low engagement (0.3%) | Growing audience (2.6K)
17,20.0,tiajaynebethxo,tiajaynebethxo,4.3K,£16.9K,661,615,1.4%,Home Supplies,False,Low average views (615) | Growing audience (4.3K)
18,20.0,tom.jerry879,TOM_JERRY,1.6K,£10.8K,412,707,1.5%,Household Appliances,False,Low average views (707) | Growing audience (1.6K)
19,18.0,neoredalert,Neo Red Alert,27K,£13.6K,997,773,0.3%,Kitchenware,False,Low average views (773) | Low engagement (0.3%)
20,16.0,thegirlybuys,thegirlybuys,4.1K,£39K,2.5K,869,0.6%,Beauty & Personal Care,False,Low average views (869) | Low engagement (0.6%) | Growing audience (4.1K)
21,16.0,mj_maryjane0,MJ,7.7K,£28.7K,1.3K,773,0.4%,Furniture,False,Low average views (773) | Low engagement (0.4%) | Growing audience (7.7K)
22,16.0,esxx.ldw.6362,Rr68392,4.7K,£22.2K,1.5K,645,0.3%,Furniture,False,Low average views (645) | Low engagement (0.3%) | Growing audience (4.7K)
