Rank,AI Score,Username,Name,Followers,GMV,Items Sold,Avg Views,Engagement,Category,Previously Invited,AI Reasons
1,41.5,carlatokshop,Carla ✨,5.9K,£98.7K,6K,1.2K,0.4%,Textiles & Soft Furnishings,False,Low engagement (0.4%) | Growing audience (5.9K)
2,41.0,taylorscholfield,Taylorscholfield,44K,£10.5K,592,5.9K,13.4%,Sports & Outdoor,False,Outstanding engagement (13.4%)
3,40.5,team.finds,Team Finds,21.9K,£127K,8.4K,6.1K,0.3%,Home Supplies,False,Strong GMV (£127K) | Low engagement (0.3%)
4,38.5,life.made.easy_,Life Made Easy,5.4K,£130.3K,3.9K,2.2K,0.2%,Household Appliances,False,Strong GMV (£130.3K) | Low engagement (0.2%) | Growing audience (5.4K)
5,32.0,georgiafoxx11,Georgiafox,149.1K,£34.1K,2K,2.5K,1.5%,Beauty & Personal Care,False,Strong follower base (149.1K)
6,31.5,msrfinds,msrfinds,6.8K,£82.3K,5.7K,1.3K,0.4%,Shoes,False,Low engagement (0.4%) | Growing audience (6.8K)
7,31.0,alisonjames894,alisonjames894,5.5K,£29.4K,1.9K,1.5K,0.3%,Textiles & Soft Furnishings,False,Low engagement (0.3%) | Growing audience (5.5K)
8,31.0,sleep.cult,Sleep Cult,5.6K,£24.7K,1.4K,4.1K,0.2%,Textiles & Soft Furnishings,False,Low engagement (0.2%) | Growing audience (5.6K)
9,31.0,katieirwinw,Katie Irwin 🎀,3.9K,£15.5K,865,2.4K,0.9%,Textiles & Soft Furnishings,False,Low engagement (0.9%) | Growing audience (3.9K)
10,30.0,mrsninabacon,NINA⚡️,4.7K,£22.1K,1.4K,617,1.3%,Textiles & Soft Furnishings,False,Low average views (617) | Growing audience (4.7K)
11,28.5,sam_sweet_brummom,Mrs sweet,14K,£81K,4.4K,861,0.4%,Home Supplies,False,Low average views (861) | Low engagement (0.4%)
12,28.0,kerryxo67,Kerry💕,14.9K,£23.2K,1.1K,768,0.6%,Textiles & Soft Furnishings,False,Low average views (768) | Low engagement (0.6%)
13,28.0,kirsten_mum_of_3_tts,kirsten_mum_of_3_TTS,20.2K,£16K,742,415,0.8%,Textiles & Soft Furnishings,False,Low average views (415) | Low engagement (0.8%)
14,27.0,robgb0,RobGB0,141.8K,£23.3K,1.2K,492,1.2%,Home Improvement,False,Low average views (492) | Strong follower base (141.8K)
15,26.0,tommylogs,tommylogs,1.7K,£12.2K,978,547,0.3%,Textiles & Soft Furnishings,False,Low average views (547) | Low engagement (0.3%) | Growing audience (1.7K)
16,26.0,brittany.g61,Brittany,2.1K,£10.4K,558,396,0.4%,Textiles & Soft Furnishings,False,Low average views (396) | Low engagement (0.4%) | Growing audience (2.1K)
17,21.0,nicola.henny20,Nicola Henshall,4.3K,£41.3K,4.6K,1.6K,0.3%,Automotive & Motorcycle,False,Low engagement (0.3%) | Growing audience (4.3K)
18,21.0,ticktrovee,Emily,2.6K,£38.5K,1.9K,1.1K,0.3%,Household Appliances,False,Low engagement (0.3%) | Growing audience (2.6K)
19,21.0,tokkdealz,Tokk Dealz,7.5K,£34.2K,2.5K,4.6K,0.2%,Home Supplies,False,Low engagement (0.2%) | Growing audience (7.5K)
20,20.0,tiajaynebethxo,tiajaynebethxo,4.3K,£16.9K,661,615,1.4%,Home Supplies,False,Low average views (615) | Growing audience (4.3K)
21,20.0,tom.jerry879,TOM_JERRY,1.6K,£10.8K,412,707,1.5%,Household Appliances,False,Low average views (707) | Growing audience (1.6K)
22,18.0,neoredalert,Neo Red Alert,27K,£13.6K,997,773,0.3%,Kitchenware,False,Low average views (773) | Low engagement (0.3%)
23,16.0,thegirlybuys,thegirlybuys,4.1K,£39K,2.5K,869,0.6%,Beauty & Personal Care,False,Low average views (869) | Low engagement (0.6%) | Growing audience (4.1K)
24,16.0,honestmumbestie,Your honest mum bestie,4.6K,£30.1K,1.5K,561,0.6%,Womenswear & Underwear,False,Low average views (561) | Low engagement (0.6%) | Growing audience (4.6K)
25,16.0,mj_maryjane0,MJ,7.7K,£28.7K,1.3K,773,0.4%,Furniture,False,Low average views (773) | Low engagement (0.4%) | Growing audience (7.7K)
26,16.0,esxx.ldw.6362,Rr68392,4.7K,£22.2K,1.5K,645,0.3%,Furniture,False,Low average views (645) | Low engagement (0.3%) | Growing audience (4.7K)
27,16.0,glowwithme751,cosmetics corner ✨💅,1.8K,£13.3K,1K,771,0.4%,Shoes,False,Low average views (771) | Low engagement (0.4%) | Growing audience (1.8K)
