Rank,AI Score,Username,Name,Followers,GMV,Items Sold,Avg Views,Engagement,Category,Previously Invited,AI Reasons
1,71.5,kayemarie53,Kaye Marie,652.4K,£26.8K,1.6K,117.8K,7.4%,Textiles & Soft Furnishings,False,Excellent average views (117.8K) | Strong engagement (7.4%) | Large follower base (652.4K)
2,50.5,regularjoey0,regularjoey0,11.8K,£174.8K,7.9K,3.4K,0.3%,Textiles & Soft Furnishings,False,Strong GMV (£174.8K) | Low engagement (0.3%)
3,45.5,samantha.x89,samantha,5.8K,£51.7K,4K,1.8K,1.4%,Textiles & Soft Furnishings,False,Growing audience (5.8K)
4,42.0,kiwimariah,kiwi,190.2K,£34.4K,1.8K,3.3K,5.6%,Womenswear & Underwear,False,Strong engagement (5.6%) | Strong follower base (190.2K)
5,41.5,carlatokshop,Carla ✨,5.8K,£96.1K,6.4K,1.2K,0.4%,Textiles & Soft Furnishings,False,Low engagement (0.4%) | Growing audience (5.8K)
6,41.0,taylorscholfield,Taylorscholfield,44K,£11.1K,641,5.8K,13.2%,Sports & Outdoor,False,Outstanding engagement (13.2%)
7,40.5,ben_approved,Ben Approved 💁🏼‍♂️,20.8K,£132.2K,4.7K,1.8K,0.4%,Beauty & Personal Care,False,Strong GMV (£132.2K) | Low engagement (0.4%)
8,40.5,team.finds,Team Finds,21.7K,£122.5K,8.2K,6.3K,0.3%,Home Supplies,False,Strong GMV (£122.5K) | Low engagement (0.3%)
9,38.5,life.made.easy_,Life Made Easy,5.3K,£126.5K,3.7K,2.1K,0.2%,Household Appliances,False,Strong GMV (£126.5K) | Low engagement (0.2%) | Growing audience (5.3K)
10,37.0,_thistleflowers,Thistle event decor💀🖤🤟🏼,35.8K,£24.3K,1.3K,6.4K,5.3%,Womenswear & Underwear,False,Strong engagement (5.3%)
11,31.0,ticktrovee,Emily,2.6K,£48.6K,2.5K,2.2K,0.3%,Textiles & Soft Furnishings,False,Low engagement (0.3%) | Growing audience (2.6K)
12,31.0,sleep.cult,Sleep Cult,5.6K,£27.9K,1.7K,3.7K,0.2%,Textiles & Soft Furnishings,False,Low engagement (0.2%) | Growing audience (5.6K)
13,31.0,alisonjames894,alisonjames894,5.5K,£30.9K,2K,1.5K,0.4%,Textiles & Soft Furnishings,False,Low engagement (0.4%) | Growing audience (5.5K)
14,31.0,katieirwinw,Katie Irwin 🎀,3.9K,£14.4K,807,2.9K,0.9%,Textiles & Soft Furnishings,False,Low engagement (0.9%) | Growing audience (3.9K)
15,30.0,mrsninabacon,NINA⚡️,4.6K,£20K,1.3K,617,1.3%,Textiles & Soft Furnishings,False,Low average views (617) | Growing audience (4.6K)
16,28.5,sam_sweet_brummom,Mrs sweet,14K,£80.3K,4.4K,900,0.4%,Home Supplies,False,Low average views (900) | Low engagement (0.4%)
17,28.0,kerryxo67,Kerry💕,14.9K,£23.7K,1.1K,665,0.6%,Textiles & Soft Furnishings,False,Low average views (665) | Low engagement (0.6%)
18,26.0,tommylogs,tommylogs,1.7K,£12.6K,1K,554,0.3%,Textiles & Soft Furnishings,False,Low average views (554) | Low engagement (0.3%) | Growing audience (1.7K)
19,21.0,nicola.henny20,Nicola Henshall,4.3K,£42.9K,4.8K,1.6K,0.3%,Automotive & Motorcycle,False,Low engagement (0.3%) | Growing audience (4.3K)
20,21.0,_midnightlyrics7,Victoria Harrington,5.5K,£27.2K,1.1K,1.2K,0.8%,Home Supplies,False,Low engagement (0.8%) | Growing audience (5.5K)
21,20.0,tiajaynebethxo,tiajaynebethxo,4.2K,£17.1K,680,625,1.1%,Home Supplies,False,Low average views (625) | Growing audience (4.2K)
22,20.0,tom.jerry879,TOM_JERRY,1.6K,£12.1K,473,672,1.5%,Household Appliances,False,Low average views (672) | Growing audience (1.6K)
23,18.0,neoredalert,Neo Red Alert,27.1K,£15.6K,1.1K,707,0.3%,Kitchenware,False,Low average views (707) | Low engagement (0.3%)
24,16.0,thegirlybuys,thegirlybuys,4.1K,£38.1K,2.5K,812,0.7%,Beauty & Personal Care,False,Low average views (812) | Low engagement (0.7%) | Growing audience (4.1K)
25,16.0,mj_maryjane0,MJ,7.7K,£26.5K,1.2K,760,0.4%,Furniture,False,Low average views (760) | Low engagement (0.4%) | Growing audience (7.7K)
26,16.0,esxx.ldw.6362,Rr68392,4.7K,£23.9K,1.7K,615,0.3%,Furniture,False,Low average views (615) | Low engagement (0.3%) | Growing audience (4.7K)
