Rank,AI Score,Username,Name,Followers,GMV,Items Sold,Avg Views,Engagement,Category,Previously Invited,AI Reasons
1,71.5,kayemarie53,Kaye Marie,652.1K,£26.7K,1.6K,106.8K,7.4%,Textiles & Soft Furnishings,False,Excellent average views (106.8K) | Strong engagement (7.4%) | Large follower base (652.1K)
2,50.5,regularjoey0,regularjoey0,11.7K,£173.2K,8.1K,3.6K,0.3%,Textiles & Soft Furnishings,False,Strong GMV (£173.2K) | Low engagement (0.3%)
3,45.5,samantha.x89,samantha,5.8K,£52.5K,4K,1.8K,1.4%,Textiles & Soft Furnishings,False,Growing audience (5.8K)
4,42.0,kiwimariah,kiwi,190.3K,£34.4K,1.8K,3.4K,5.6%,Womenswear & Underwear,False,Strong engagement (5.6%) | Strong follower base (190.3K)
5,41.5,carlatokshop,Carla ✨,5.8K,£92.6K,6.1K,1.2K,0.4%,Textiles & Soft Furnishings,False,Low engagement (0.4%) | Growing audience (5.8K)
6,41.5,ticktrovee,Emily,2.6K,£50K,2.5K,2.6K,0.4%,Textiles & Soft Furnishings,False,Low engagement (0.4%) | Growing audience (2.6K)
7,41.0,taylorscholfield,Taylorscholfield,43.9K,£11.1K,649,5.6K,13.1%,Sports & Outdoor,False,Outstanding engagement (13.1%)
8,40.5,ben_approved,Ben Approved 💁🏼‍♂️,20.8K,£133.5K,4.7K,1.8K,0.4%,Beauty & Personal Care,False,Strong GMV (£133.5K) | Low engagement (0.4%)
9,40.5,team.finds,Team Finds,21.7K,£116K,7.6K,5.8K,0.3%,Home Supplies,False,Strong GMV (£116K) | Low engagement (0.3%)
10,38.5,life.made.easy_,Life Made Easy,5.3K,£131.1K,3.8K,1.5K,0.2%,Household Appliances,False,Strong GMV (£131.1K) | Low engagement (0.2%) | Growing audience (5.3K)
11,37.0,_thistleflowers,Thistle event decor💀🖤🤟🏼,35.8K,£24.8K,1.3K,6.3K,5.3%,Womenswear & Underwear,False,Strong engagement (5.3%)
12,32.0,georgiafoxx11,Georgiafox,149K,£39.7K,2.4K,2.3K,1.5%,Beauty & Personal Care,False,Strong follower base (149K)
13,31.0,sleep.cult,Sleep Cult,5.6K,£32.2K,2K,4K,0.2%,Textiles & Soft Furnishings,False,Low engagement (0.2%) | Growing audience (5.6K)
14,31.0,alisonjames894,alisonjames894,5.5K,£31.4K,2.1K,1.5K,0.4%,Textiles & Soft Furnishings,False,Low engagement (0.4%) | Growing audience (5.5K)
15,31.0,katieirwinw,Katie Irwin 🎀,3.9K,£13.9K,763,3.2K,0.9%,Textiles & Soft Furnishings,False,Low engagement (0.9%) | Growing audience (3.9K)
16,30.0,mrsninabacon,NINA⚡️,4.6K,£18.3K,1.1K,626,1.3%,Textiles & Soft Furnishings,False,Low average views (626) | Growing audience (4.6K)
17,28.5,sam_sweet_brummom,Mrs sweet,14K,£77.7K,4.3K,887,0.5%,Home Supplies,False,Low average views (887) | Low engagement (0.5%)
18,28.0,kirsten_mum_of_3_tts,kirsten_mum_of_3_TTS,20.2K,£17.2K,796,420,0.7%,Textiles & Soft Furnishings,False,Low average views (420) | Low engagement (0.7%)
19,26.0,tommylogs,tommylogs,1.7K,£12.6K,1K,551,0.3%,Textiles & Soft Furnishings,False,Low average views (551) | Low engagement (0.3%) | Growing audience (1.7K)
20,21.0,nicola.henny20,Nicola Henshall,4.4K,£43.9K,4.9K,1.6K,0.3%,Automotive & Motorcycle,False,Low engagement (0.3%) | Growing audience (4.4K)
21,21.0,_midnightlyrics7,Victoria Harrington,5.5K,£28.3K,1.2K,1.2K,0.8%,Home Supplies,False,Low engagement (0.8%) | Growing audience (5.5K)
22,20.0,tiajaynebethxo,tiajaynebethxo,4.2K,£17.4K,685,620,1.1%,Home Supplies,False,Low average views (620) | Growing audience (4.2K)
23,20.0,tom.jerry879,TOM_JERRY,1.6K,£12.4K,490,696,1.5%,Household Appliances,False,Low average views (696) | Growing audience (1.6K)
24,18.0,neoredalert,Neo Red Alert,27.1K,£16.5K,1.2K,699,0.3%,Kitchenware,False,Low average views (699) | Low engagement (0.3%)
25,16.0,thegirlybuys,thegirlybuys,4.1K,£35.8K,2.3K,782,0.7%,Beauty & Personal Care,False,Low average views (782) | Low engagement (0.7%) | Growing audience (4.1K)
26,16.0,mj_maryjane0,MJ,7.6K,£25.2K,1.2K,796,0.4%,Furniture,False,Low average views (796) | Low engagement (0.4%) | Growing audience (7.6K)
27,16.0,esxx.ldw.6362,Rr68392,4.7K,£24K,1.7K,637,0.4%,Furniture,False,Low average views (637) | Low engagement (0.4%) | Growing audience (4.7K)
