Rank,AI Score,Username,Name,Followers,GMV,Items Sold,Avg Views,Engagement,Category,Previously Invited,AI Reasons
1,41.5,carlatokshop,Carla ✨,6K,£99.6K,6K,1.4K,0.5%,Textiles & Soft Furnishings,False,Low engagement (0.5%) | Growing audience (6K)
2,41.0,taylorscholfield,Taylorscholfield,44.2K,£10.4K,578,5.5K,13.4%,Sports & Outdoor,False,Outstanding engagement (13.4%)
3,38.5,life.made.easy_,Life Made Easy,5.7K,£121K,3.7K,1.6K,0.2%,Household Appliances,False,Strong GMV (£121K) | Low engagement (0.2%) | Growing audience (5.7K)
4,38.0,mumtosons,Jane 🧚‍♀️,13.3K,£15K,1K,497,4.0%,Textiles & Soft Furnishings,False,Low average views (497)
5,32.0,georgiafoxx11,Georgiafox,149.1K,£30.3K,1.8K,2.6K,1.6%,Beauty & Personal Care,False,Strong follower base (149.1K)
6,32.0,rahellimbu,Rahel limbu,300.8K,£17.5K,924,1.6K,1.8%,Kitchenware,False,Strong follower base (300.8K)
7,31.5,msrfinds,msrfinds,6.8K,£79.2K,5.4K,1.3K,0.4%,Shoes,False,Low engagement (0.4%) | Growing audience (6.8K)
8,31.0,alisonjames894,alisonjames894,5.5K,£27.9K,1.8K,1.5K,0.3%,Textiles & Soft Furnishings,False,Low engagement (0.3%) | Growing audience (5.5K)
9,31.0,sleep.cult,Sleep Cult,5.6K,£24K,1.4K,3.8K,0.2%,Textiles & Soft Furnishings,False,Low engagement (0.2%) | Growing audience (5.6K)
10,31.0,katieirwinw,Katie Irwin 🎀,4K,£16.5K,966,2.5K,0.9%,Textiles & Soft Furnishings,False,Low engagement (0.9%) | Growing audience (4K)
11,30.0,mrsninabacon,NINA⚡️,4.7K,£22K,1.4K,672,1.4%,Textiles & Soft Furnishings,False,Low average views (672) | Growing audience (4.7K)
12,28.5,sam_sweet_brummom,Mrs sweet,14K,£80.5K,4.3K,867,0.6%,Home Supplies,False,Low average views (867) | Low engagement (0.6%)
13,28.0,kerryxo67,Kerry💕,14.9K,£22.7K,1K,778,0.7%,Textiles & Soft Furnishings,False,Low average views (778) | Low engagement (0.7%)
14,28.0,kirsten_mum_of_3_tts,kirsten_mum_of_3_TTS,20.2K,£15.9K,751,412,0.8%,Textiles & Soft Furnishings,False,Low average views (412) | Low engagement (0.8%)
15,27.0,robgb0,RobGB0,141.8K,£21.6K,1.1K,485,1.3%,Home Improvement,False,Low average views (485) | Strong follower base (141.8K)
16,26.0,ticktrovee,Emily,2.7K,£31.3K,1.7K,913,0.3%,Textiles & Soft Furnishings,False,Low average views (913) | Low engagement (0.3%) | Growing audience (2.7K)
17,26.0,tommylogs,tommylogs,1.7K,£12.2K,961,563,0.3%,Textiles & Soft Furnishings,False,Low average views (563) | Low engagement (0.3%) | Growing audience (1.7K)
18,26.0,brittany.g61,Brittany,2.1K,£11.1K,616,391,0.4%,Textiles & Soft Furnishings,False,Low average views (391) | Low engagement (0.4%) | Growing audience (2.1K)
19,21.0,nicola.henny20,Nicola Henshall,4.3K,£38.7K,4.4K,1.6K,0.3%,Automotive & Motorcycle,False,Low engagement (0.3%) | Growing audience (4.3K)
20,21.0,tokkdealz,Tokk Dealz,7.6K,£34.6K,2.5K,5.7K,0.2%,Home Supplies,False,Low engagement (0.2%) | Growing audience (7.6K)
21,20.0,tiajaynebethxo,tiajaynebethxo,4.3K,£17.3K,672,663,1.4%,Home Supplies,False,Low average views (663) | Growing audience (4.3K)
22,18.0,neoredalert,Neo Red Alert,27K,£12.2K,906,800,0.3%,Kitchenware,False,Low average views (800) | Low engagement (0.3%)
23,16.0,thegirlybuys,thegirlybuys,4.1K,£39K,2.5K,855,0.7%,Beauty & Personal Care,False,Low average views (855) | Low engagement (0.7%) | Growing audience (4.1K)
24,16.0,mj_maryjane0,MJ,7.7K,£30.5K,1.3K,761,0.4%,Furniture,False,Low average views (761) | Low engagement (0.4%) | Growing audience (7.7K)
25,16.0,honestmumbestie,Your honest mum bestie,4.6K,£29.1K,1.5K,557,0.5%,Womenswear & Underwear,False,Low average views (557) | Low engagement (0.5%) | Growing audience (4.6K)
26,16.0,esxx.ldw.6362,Rr68392,4.7K,£21.2K,1.5K,620,0.3%,Furniture,False,Low average views (620) | Low engagement (0.3%) | Growing audience (4.7K)
27,16.0,glowwithme751,cosmetics corner ✨💅,1.8K,£13.3K,998,782,0.4%,Shoes,False,Low average views (782) | Low engagement (0.4%) | Growing audience (1.8K)
28,13.0,tom.jerry879,TOM_JERRY,1.6K,£9.6K,336,704,1.6%,Household Appliances,False,Low GMV (£9.6K) | Low average views (704) | Growing audience (1.6K)
