Rank,AI Score,Username,Name,Followers,GMV,Items Sold,Avg Views,Engagement,Category,Previously Invited,AI Reasons
1,26.0,ourcutefindsuk,our cute finds 🧸✨,2.2K,£26.4K,1.8K,548,0.8%,Textiles & Soft Furnishings,False,Low average views (548) | Low engagement (0.8%) | Growing audience (2.2K)
2,26.0,tommylogs,tommylogs,1.7K,£12K,952,449,0.3%,Textiles & Soft Furnishings,False,Low average views (449) | Low engagement (0.3%) | Growing audience (1.7K)
3,26.0,brittany.g61,Brittany,2.1K,£12K,694,382,0.4%,Textiles & Soft Furnishings,False,Low average views (382) | Low engagement (0.4%) | Growing audience (2.1K)
4,22.0,melliegibbo74,Mellie G,17.1K,£35.5K,2.9K,710,2.6%,Womenswear & Underwear,False,Low average views (710)
5,21.0,thegirlybuys,thegirlybuys,4.2K,£42.3K,2.6K,1.3K,0.8%,Beauty & Personal Care,False,Low engagement (0.8%) | Growing audience (4.2K)
6,21.0,nicola.henny20,Nicola Henshall,4.3K,£20.8K,2.3K,1.5K,0.3%,Automotive & Motorcycle,False,Low engagement (0.3%) | Growing audience (4.3K)
7,18.0,aybecky3,Aybecky3,26.3K,£46.4K,2.3K,940,0.8%,Home Supplies,False,Low average views (940) | Low engagement (0.8%)
8,18.0,cocokourts,✨CocoKourts✨,11.3K,£10.8K,597,358,0.7%,Home Supplies,False,Low average views (358) | Low engagement (0.7%)
9,16.0,mrsb_xo_,Mrs B 🌸,5.7K,£32K,1.9K,901,0.4%,Womenswear & Underwear,False,Low average views (901) | Low engagement (0.4%) | Growing audience (5.7K)
10,16.0,esxx.ldw.6362,Rr68392,4.8K,£18.8K,1.3K,575,0.3%,Furniture,False,Low average views (575) | Low engagement (0.3%) | Growing audience (4.8K)
11,16.0,javierabbas31,javierabbas31,1.4K,£19.7K,2.5K,578,0.6%,Home Supplies,False,Low average views (578) | Low engagement (0.6%) | Growing audience (1.4K)
12,16.0,rachmatoba_reviews,Rachmatoba reviews,2.2K,£16.5K,1.3K,473,0.5%,Household Appliances,False,Low average views (473) | Low engagement (0.5%) | Growing audience (2.2K)
13,16.0,washingmachine36,Washingmachine,1.1K,£17.2K,2.2K,818,0.4%,Home Supplies,False,Low average views (818) | Low engagement (0.4%) | Growing audience (1.1K)
14,16.0,glowwithme751,cosmetics corner ✨💅,1.9K,£12.7K,874,748,0.3%,Shoes,False,Low average views (748) | Low engagement (0.3%) | Growing audience (1.9K)
15,16.0,nightsguys,nightsguys,5.1K,£12.8K,295,447,0.2%,Household Appliances,False,Low average views (447) | Low engagement (0.2%) | Growing audience (5.1K)
